iter	Passed	Remaining
0	1	124
1	2	122
2	3	117
3	4	112
4	5	111
5	7	111
6	8	110
7	10	115
8	11	115
9	12	113
10	14	114
11	15	113
12	17	114
13	18	113
14	19	112
15	20	109
16	22	108
17	23	107
18	25	107
19	26	106
20	27	105
21	29	103
22	30	101
23	31	99
24	32	98
25	34	97
26	35	95
27	36	94
28	37	91
29	38	90
30	40	89
31	41	87
32	42	85
33	42	83
34	43	81
35	44	79
36	45	77
37	46	75
38	46	73
39	47	71
40	48	69
41	48	67
42	49	66
43	50	64
44	51	62
45	52	61
46	52	59
47	53	58
48	54	56
49	55	55
50	56	53
51	56	52
52	57	50
53	57	49
54	58	47
55	58	46
56	59	44
57	59	43
58	60	42
59	61	40
60	61	39
61	62	38
62	62	36
63	63	35
64	63	34
65	64	33
66	64	32
67	65	30
68	65	29
69	66	28
70	67	27
71	67	26
72	68	25
73	68	24
74	69	23
75	69	22
76	70	21
77	70	19
78	71	18
79	71	17
80	72	16
81	72	15
82	73	15
83	73	14
84	74	13
85	74	12
86	75	11
87	75	10
88	76	9
89	76	8
90	77	7
91	77	6
92	78	5
93	79	5
94	79	4
95	80	3
96	80	2
97	81	1
98	81	0
99	82	0
